# **S.energy	elast	eps_norm	eps_x	eps_y	eps_z	gradVWork	i	kinetic	nonviscDamp	plast	q	sigM	sig_norm	sig_x	sig_y	sig_z	step	t	unbE	unbF
nan	7.34047111076e-05	0.00257825016105	0.000147178917935	0.000625551354424	-0.00249687760254	-2.89783131208e-05	4000	3.0826956087e-10	4.75303850448e-06	1.08740713382e-05	-12910.2894015	-54435.6101174	94872.986791	-50134.4883913	-50127.5641682	-63044.7777928	0	0.00261606564234	4.19958823103e-06	0.000277594440379
nan	7.37987909206e-05	0.00257453192728	0.000130752483601	0.000613775749413	-0.00249687760254	-2.93645120209e-05	4100	2.19900869812e-10	4.753290871e-06	1.08825335923e-05	-12797.9766749	-54641.5442917	95218.6409921	-50387.3326003	-50351.9909995	-63185.3092752	0	0.00268147494383	2.97973540039e-06	0.000277594440379
nan	7.30157152663e-05	0.0025823247836	0.000159640125666	0.000639154563624	-0.00249687760254	-2.85920422935e-05	4200	2.23017027616e-10	4.75343137892e-06	1.08928510015e-05	-12979.6904591	-54240.7474839	94544.4036836	-49920.0811635	-49902.3896656	-62899.7716226	0	0.00274688462711	3.054370238e-06	0.000277594440379
nan	7.33156672308e-05	0.00257852893433	0.000151588353307	0.000625647404112	-0.00249687760254	-2.89104013399e-05	4300	2.01875057297e-10	4.75350494475e-06	1.08990212772e-05	-12924.1865302	-54390.238037	94794.6510978	-50073.472908	-50099.5817647	-62997.6594382	0	0.00281229352154	2.75350501361e-06	0.000277594440379
nan	7.36960272441e-05	0.00257464059816	0.000137834522524	0.000612681068761	-0.00249687760254	-2.92807149769e-05	4400	1.90513901183e-10	4.7535790715e-06	1.08996306565e-05	-12832.9016201	-54590.1722492	95130.6279593	-50304.2133755	-50329.1883767	-63137.1149955	0	0.00287770276159	2.58513122495e-06	0.000277594440379
nan	7.31456018108e-05	0.00258087247588	0.000154651438738	0.000634498153814	-0.00249687760254	-2.87287690601e-05	4500	1.88206970712e-10	4.75363232429e-06	1.08998019156e-05	-12942.091225	-54307.3784001	94655.6793203	-49999.4601099	-49981.1237555	-62941.5513349	0	0.00294311238308	2.57304562479e-06	6.39385545621e-05
nan	7.32875784839e-05	0.00257940639126	0.000149350119408	0.000629788941649	-0.00249687760254	-2.88806839236e-05	4600	1.86988307805e-10	4.75365299889e-06	1.09000651218e-05	-12907.9973407	-54375.9976239	94770.8125893	-50080.3690324	-50059.2574661	-62988.3663731	0	0.00300852143044	2.55143247565e-06	6.39385545621e-05
nan	7.36212330874e-05	0.00257559686286	0.000139380421098	0.000616339627261	-0.00249687760254	-2.92076120133e-05	4700	1.82778714969e-10	4.75368215481e-06	1.09000915203e-05	-12842.5561799	-54551.0313986	95064.8348474	-50267.2019432	-50276.1341297	-63109.758123	0	0.00307393060254	2.48269021455e-06	6.39385545621e-05
nan	7.32393532048e-05	0.00257950358558	0.000153286314899	0.000629241044145	-0.00249687760254	-2.88231758477e-05	4800	1.6071438962e-10	4.75373386945e-06	1.09001093468e-05	-12934.7163809	-54355.6072724	94736.6574096	-50040.1740874	-50051.7572613	-62974.8904683	0	0.00313934013383	2.19437204983e-06	5.31134812952e-05
nan	7.32790326043e-05	0.00257920598298	0.00015121358299	0.000628522229448	-0.00249687760254	-2.88703042638e-05	4900	1.58536384383e-10	4.75375718302e-06	1.09001168069e-05	-12921.0957395	-54372.6080912	94765.1157895	-50064.8987011	-50066.9311321	-62985.9944406	0	0.00320474928342	2.16346175363e-06	5.31134812952e-05
nan	7.35584948051e-05	0.00257641796731	0.000140636954917	0.000619478027939	-0.00249687760254	-2.91456587113e-05	5000	1.54178080389e-10	4.75377598351e-06	1.09001193335e-05	-12850.400086	-54518.3252542	95009.8941401	-50236.7291762	-50231.1173243	-63087.1292622	0	0.0032701584617	2.0959928666e-06	3.90911464387e-05
nan	7.33033995859e-05	0.00257908770325	0.000149599124256	0.000628423202172	-0.00249687760254	-2.88878640294e-05	5100	1.4833883619e-10	4.75380086474e-06	1.09001278332e-05	-12909.4499959	-54388.0919527	94791.2047753	-50087.8937549	-50079.0383525	-62997.3437507	0	0.00333556792822	2.0236283314e-06	5.76580900644e-05
nan	7.32844013767e-05	0.00257914749397	0.000151031824818	0.000628325887956	-0.00249687760254	-2.88743386851e-05	5200	1.46384790262e-10	4.75381118887e-06	1.0900128775e-05	-12919.6636326	-54376.0136749	94770.8456412	-50068.7671196	-50070.8431531	-62988.4307522	0	0.0034009771397	1.99748906333e-06	5.76580900644e-05
nan	7.35072706194e-05	0.00257674524086	0.000143530393111	0.000620175217557	-0.00249687760254	-2.90949444613e-05	5300	1.44058011662e-10	4.75382227028e-06	1.0900129004e-05	-12870.1097322	-54491.8039177	94965.3218075	-50198.4929332	-50208.3161544	-63068.6026655	0	0.00346638632591	1.95977908645e-06	2.39398893174e-05
nan	7.33432259684e-05	0.00257857499761	0.000148690558583	0.000626532021563	-0.00249687760254	-2.89283532643e-05	5400	1.44007371542e-10	4.75382892809e-06	1.09001291746e-05	-12903.6451418	-54408.4591362	94825.3785954	-50107.5712477	-50106.5897716	-63011.2163895	0	0.00353179574215	1.96347201314e-06	2.28192621549e-05
nan	7.32965250642e-05	0.00257913934313	0.000149955311123	0.000628550231791	-0.00249687760254	-2.88855582758e-05	5500	1.43246440148e-10	4.75383284947e-06	1.09001292767e-05	-12912.1679047	-54382.5329045	94781.8110347	-50080.9020033	-50073.626802	-62993.069908	0	0.00359720499189	1.95434149194e-06	2.28192621549e-05
nan	7.34677732538e-05	0.00257726362568	0.000144337950974	0.00062213872256	-0.00249687760254	-2.90558054663e-05	5600	1.4246046709e-10	4.75384015432e-06	1.09001292965e-05	-12875.1871376	-54471.2253125	94930.7655457	-50179.2421486	-50180.0045025	-63054.4292862	0	0.00366261419123	1.93908785826e-06	2.82942692148e-05
nan	7.33676262689e-05	0.0025782667896	0.000148107232274	0.000625400770738	-0.00249687760254	-2.89533467968e-05	5700	1.41607744152e-10	4.7538442365e-06	1.09001295523e-05	-12900.0690773	-54420.7400661	94846.0014444	-50119.6297104	-50122.8917003	-63019.6987877	0	0.00372802356425	1.93011211284e-06	2.22676820451e-05
nan	7.33096204967e-05	0.00257889838863	0.000150045242215	0.000627539291279	-0.00249687760254	-2.88980342465e-05	5800	1.41164716555e-10	4.75384717265e-06	1.09001296112e-05	-12913.0396031	-54389.6340785	94793.7354472	-50084.9390276	-50085.9845772	-62997.9786307	0	0.0037934328398	1.92559606227e-06	2.22676820451e-05
nan	7.34370711523e-05	0.00257759438864	0.00014536162218	0.000623269659989	-0.00249687760254	-2.90252498308e-05	5900	1.35592030763e-10	4.75385828108e-06	1.09001322046e-05	-12881.7452528	-54455.4433979	94904.2471026	-50161.6808737	-50161.2231934	-63043.4261266	0	0.00385884205298	1.84637034995e-06	4.50072218536e-05
nan	7.33804052262e-05	0.00257820634385	0.000147258284742	0.000625352050431	-0.00249687760254	-2.89666284631e-05	6000	1.35314740022e-10	4.75386044693e-06	1.09001322948e-05	-12894.2004375	-54427.0604604	94856.6083296	-50129.813347	-50127.3542498	-63024.0137845	0	0.00392425139289	1.84401734503e-06	1.36475765858e-05
nan	7.33233350387e-05	0.00257877834319	0.000149426468182	0.000627193520254	-0.00249687760254	-2.89113574435e-05	6100	1.32856095439e-10	4.75386401217e-06	1.09001385769e-05	-12908.7936845	-54396.9103674	94805.9545268	-50094.2168807	-50093.5036564	-63003.0105652	0	0.00398966067858	1.81192106672e-06	1.44734262723e-05
nan	7.34146202573e-05	0.0025777838445	0.000146396051685	0.000623810855099	-0.00249687760254	-2.90027897541e-05	6200	1.3165815298e-10	4.7538674932e-06	1.09001387618e-05	-12888.8680907	-54443.8810347	94884.8319128	-50146.5892925	-50149.5964285	-63035.4573832	0	0.00405506990648	1.79335059581e-06	1.54633063613e-05
nan	7.33866524726e-05	0.00257809884395	0.000147263468146	0.000624907479612	-0.00249687760254	-2.89732692055e-05	6300	1.2925693343e-10	4.75387138471e-06	1.09001400461e-05	-12894.541535	-54430.0825214	94861.6873544	-50131.5895914	-50132.5268463	-63026.1311264	0	0.00412047922576	1.7613139321e-06	1.76366306257e-05
nan	7.33353466551e-05	0.00257867120863	0.000148896779879	0.000626878926997	-0.00249687760254	-2.89231064878e-05	6400	1.26370542203e-10	4.75387506902e-06	1.09001410177e-05	-12905.2037968	-54403.1653127	94816.4647019	-50102.1770696	-50099.9380021	-63007.3808664	0	0.00418588851926	1.72318735735e-06	1.65882298659e-05
nan	7.33985539059e-05	0.00257799227662	0.000146745511536	0.000624589602123	-0.00249687760254	-2.89866520161e-05	6500	1.25785345408e-10	4.75387686772e-06	1.09001413149e-05	-12891.0390255	-54435.5706853	94870.8781648	-50138.6946475	-50138.2837354	-63029.733673	0	0.00425129775844	1.71373056708e-06	1.72356884602e-05
nan	7.33886867033e-05	0.00257807781785	0.000147189934621	0.000624838055792	-0.00249687760254	-2.89755884097e-05	6600	1.24503749709e-10	4.75387895209e-06	1.09001423527e-05	-12894.0228893	-54431.0056836	94863.2315637	-50132.7012303	-50133.5917007	-63026.7241197	0	0.00431670706138	1.69649785685e-06	1.88819160611e-05
nan	7.33453632969e-05	0.0025785356079	0.000148705206602	0.000626366410884	-0.00249687760254	-2.89329672698e-05	6700	1.23494898611e-10	4.75388058778e-06	1.0900142666e-05	-12904.0429254	-54408.4100299	94825.2726591	-50106.9670555	-50107.2530533	-63011.009981	0	0.00438211635668	1.6837451348e-06	1.37706436718e-05
nan	7.33877822348e-05	0.00257809657515	0.000147171833936	0.00062491970688	-0.00249687760254	-2.89757761693e-05	6800	1.23086431769e-10	4.75388149683e-06	1.09001427667e-05	-12893.9200814	-54430.0737193	94861.6502422	-50132.0406926	-50132.2196913	-63025.960774	0	0.00444752560869	1.67720604194e-06	1.38608007373e-05
